Timestamp,"The computer accepts the following: [16]

What numbers would also be accepted by this computer program?","The computer accepts the following: [16, 8, 2, 64]

What numbers would also be accepted by this computer program?","The computer accepts the following: [16, 23, 19, 20]

What numbers would also be accepted by this computer program?","What number sets did you consider when making your selection for [16] ? (For example, prime numbers, etc.)","Give the min and max of any interval of numbers you considered when making your selection. If none, please write NA","What number sets did you consider when making your selection for [16, 8, 2, 64]? (For example, prime numbers, etc.)","Give the min and max of any interval of numbers you considered when making your selection. If none, please write NA","What number sets did you consider when making your selection for [16, 23, 19, 20] ? (For example, prime numbers, etc.)","Give the min and max of any interval of numbers you considered when making your selection. If none, please write NA","Of the following sets, which number sets did you consider when making your selection for [16] ?",Did you think of mathematical rules or intervals first?,"Rank the possible number sets you considered from most likely (#1) to least likely, if no rank then put NA","Of the following sets, which number sets did you consider when making your selection for [16, 8, 2, 64] ?",Did you think of mathematical rules or intervals first?,"Rank the possible number sets you considered from most likely (#1) to least likely, if no rank then put NA","Of the following sets, which number sets did you consider when making your selection for [16, 23, 19, 20] ?","Did you think of mathematical rules (prime numbers, etc.) or intervals (a range of numbers) first?","Rank the possible number sets you considered from most likely (#1) to least likely, if no rank then put NA"
4/28/2023 18:21,"73, 83","1, 4, 64","32, 49",Random,N/A,Power of 2,N/A,Under 50,Under 50,Random ,Intervals,N/A,Powers of 2,Mathematical rules,NA,Consecutive numbers in an interval,Intervals,NA
4/28/2023 18:21,"32, 64","1, 2, 4, 8, 16, 32","4, 7, 8, 11, 12, 13, 16, 17, 19, 20, 23, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68, 72, 76, 80, 84, 88, 92, 96, 100",multiples of 16,NA,2 ^ i,"2, 64","divisible by 4, primes",NA,Multiples of 4,Mathematical rules,16,Powers of 2,Mathematical rules,2,"Multiples of 4, Prime numbers",Mathematical rules,24
4/28/2023 18:22,"16, 32, 48, 64, 80, 96","2, 4, 8, 16, 32, 64","3, 6, 7, 9, 12, 13, 16, 19, 20, 23, 26, 27, 30, 33, 34, 37, 40, 41, 44, 47, 48, 51, 54, 55, 58, 61, 62, 65, 68, 69, 72, 75, 76, 79, 82, 83, 86, 89, 90, 93, 96, 97, 100",multiples of 16,NA,powers of 2,NA,"Pattern of leaving 2, selecting either 1 or 2 numbers",NA,"Even Numbers, Powers of 2, Multiples of 4",Mathematical rules,"1. Multiples of 2, 2. Multiples of 16, 3. Just 16 ","Even Numbers, Powers of 2",Mathematical rules,"1. Powers of 2, 2. Even numbers","Prime numbers, Consecutive numbers in an interval",Mathematical rules,"1. Mathematical rules, 2.When mathematical rules did not seem to apply i considered intervals"
4/28/2023 18:32,"2, 4, 8, 16, 32, 64","2, 4, 8, 16, 32, 64","13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",exponents of 2,"0, 100",exponents of 2,"0, 100","random set of numbers, odd ","13, 23",Powers of 2,Mathematical rules,NA,Powers of 2,Mathematical rules,NA,"Odd Numbers, Prime numbers, Consecutive numbers in an interval",Mathematical rules,"Odd Numbers, Consecutive Numbers in an interval, Prime Numbers"
4/28/2023 18:47,"2, 4, 6, 8, 10, 12, 14","4, 16","17, 22","Multiples of 2, up to 16",16-Feb,-,-,Add/ subtract 3,16-22,Powers of 2,Mathematical rules,NA,"Powers of 2, Multiples of 4",Intervals,NA,Consecutive numbers in an interval,Intervals,NA
4/28/2023 21:42,32,32,"4, 7, 8, 11, 12, 15, 16, 19, 20, 23, 24, 27, 28, 31, 32, 35, 36, 39, 40, 43, 44, 47, 48, 51, 52, 55, 56, 59, 60, 63, 64, 67, 68, 71, 72, 75, 76, 79, 80, 83, 84, 87, 88, 91, 92, 95, 96, 99",2 raise to the next number ,Na ,2 raise to a number in ascending order.  ,Na ,None. ,NA,"Even Numbers, Powers of 2, Multiples of 4",Intervals,"Even number, then powers of 2 and then multiple of 4","Even Numbers, Powers of 2",Intervals,"Powers of 2, even numbers. ",Consecutive numbers in an interval,Intervals,Consecutive numbers in an interval
4/28/2023 22:06,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16","1, 2, 4, 8, 16, 32, 64","16, 17, 18, 19, 20, 21, 22, 23",Numbers <= 16,"1,16",Powers of 2,"1, 64",16-23,"16, 23",Consecutive numbers in an interval,Intervals,"Powers of 2, Even nos",Powers of 2,Mathematical rules,"Powers of 2, Even nos",Consecutive numbers in an interval,Intervals,Consecutive interval
4/29/2023 0:13,"1, 4, 16, 64","1, 2, 4, 8, 16, 32, 64","16, 17, 18, 19, 20, 21, 22, 23, 24, 25",squares of 4,1-100,squares of 2,1-100,numbers between 16 and 25,1-100,Multiples of 4,Mathematical rules,NA,Powers of 2,Mathematical rules,NA,Consecutive numbers in an interval,Intervals,16-25
4/29/2023 1:51,"4, 16, 32, 64",32,"24, 27, 28, 31, 32, 35, 36, 39, 40, 43, 44, 47, 48, 51, 52, 55, 56, 59, 60, 63, 64, 67, 68, 71, 72, 75, 76, 79, 80, 83, 84, 87, 88, 91, 92, 95, 96, 99, 100","4,32,16,64",NA,32,NA,"Followed the pattern of 1,3,1,3,1,3...",NA,Powers of 2,Mathematical rules,NA,Powers of 2,Mathematical rules,NA,Consecutive numbers in an interval,Intervals,NA
4/29/2023 3:44,"1, 2, 4, 8, 16","1, 2, 4, 8, 16, 32, 48, 64, 80, 96","16, 17, 18, 19, 20, 21, 22, 23",Yes. Factors,NA,Factors and multiples of 16,NA,None,I considered 16 to 23,"Even Numbers, Powers of 2, Factors of 16",Mathematical rules,"1 factors of 16, 2 powers of 2, 3 multiples of 16, 3 even numbers","Even Numbers, Powers of 2, Factors and multiples of 16",Mathematical rules,NA,"Prime numbers, Consecutive numbers in an interval",Intervals,"1 consecutive numbers, 2 prime numbers"
4/29/2023 11:44,"2, 8, 32","2, 4, 8, 16, 32, 64","15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25","Powers of two, 15-25",15-25,Powers of two ,NA,15-25,15-25,"Even Numbers, Powers of 2, Consecutive numbers in an interval",Mathematical rules,Na,"Even Numbers, Powers of 2",Mathematical rules,Na,Consecutive numbers in an interval,Intervals,Na
4/29/2023 11:54,"4, 16, 64","1, 2, 4, 8, 16, 32, 64","10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","4, 64 -> Powers of 4","[4,64]","1,2,4,8,16,32,64 -> Powers of 2","[1,64]","[10,25] -> a set of numbers","[10,25]",Powers of 4,Mathematical rules,NA,Powers of 2,Mathematical rules,NA,Consecutive numbers in an interval,Intervals,"[16,23], everything else"
4/29/2023 11:57,"16, 32, 48, 64, 80, 96","1, 2, 4, 8, 16, 32, 64","1, 4, 5, 8, 9, 12, 13, 16, 19, 20, 23, 24, 27, 28, 31, 32, 35, 36, 39, 40, 43, 44, 47, 48, 51, 52, 55, 56, 59, 60, 63, 64, 67, 68, 71, 72, 75, 76, 79, 80, 83, 84, 87, 88, 91, 92, 95, 96, 99, 100",All multiples of 16,16 to 96,Powers of two ,1 to 64,A sequence of numbers incrementing interchangeably from 1 to 3 ,1 to 100,Multiples of 16,Mathematical rules,NA,Powers of 2,Mathematical rules,Na,Intervals of 1 and 3 interchanging ,Intervals,Na
4/29/2023 12:10,"2, 4, 8, 16, 32, 64","2, 4, 8, 16, 32, 64","16, 17, 18, 19, 20, 21, 22, 23",power of 2,NA,power of 2,NA,23>=x>=16 ,23>=x>=16 ,Powers of 2,Mathematical rules,NA,Powers of 2,Mathematical rules,NA,Consecutive numbers in an interval,Intervals,"18,21,22,17"
4/29/2023 12:30,"8, 16, 24, 32, 40","2, 4, 8, 16, 32, 64","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25",Divisible by 8,"1,40",Powers of 2,"1, 100",Numbers below 25,"1,25","Even Numbers, Powers of 2, Multiples of 4",Mathematical rules,NA,Powers of 2,Mathematical rules,NA,Consecutive numbers in an interval,Intervals,NA
4/29/2023 12:33,"8, 16, 32","2, 4, 8, 16, 32, 64","15, 16, 17, 18, 19, 20, 21, 22, 23",Multiples of 8,"1,40",Powers of 2,"1,100","Interval bw 15,23","15,23","Even Numbers, Powers of 2, Multiples of 4",Mathematical rules,NA,"Powers of 2, NA",Mathematical rules,NA,Consecutive numbers in an interval,Intervals,NA
4/29/2023 13:07,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100","4, 32","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",All numbers from 1-100,1-100,Natural number powers of 2,"2,4,8,16,32,64",All number from 1-100,1-100,All numbers from 1-100,Intervals,"1. All numbers from 1-100, 2. Natural powers of 2 upto 64",Powers of 2,Mathematical rules,"1. Powers of 2, 2. Even numbers",Consecutive numbers in an interval,Mathematical rules,NA
4/29/2023 14:26,"2, 4, 8, 16, 32, 64","2, 4, 8, 16, 32, 64","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38",prime number,Jan-64,prime numbers,Jan-64,16+23=19+20=39,Jan-38,Powers of 2,Mathematical rules,NA,Powers of 2,Mathematical rules,NA,Consecutive numbers in an interval,Intervals,NA
4/29/2023 14:47,17,"8, 24, 32, 48, 56","6, 9, 11, 13",17,NA,Multiples of 8,"8, 64",All numbers ,Na,"Odd Numbers, Consecutive numbers in an interval",Mathematical rules,Na,Even Numbers,Mathematical rules,Na,All,Mathematical rules,Na
4/29/2023 17:48,"2, 4, 8, 16, 32, 64","2, 4, 8, 16, 32, 64","3, 7, 11, 17, 31, 37",2^n,NA,2^n,NA,Prime numbers,"[1, 37]",Powers of 2,Mathematical rules,NA,Powers of 2,Mathematical rules,NA,Prime numbers,Mathematical rules,NA
4/29/2023 18:32,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16","2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94, 96, 98, 100","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25",Every number up to and including 16,1 to 16,Even numbers,2-100,Every number up to 25,1 to 25,"Even Numbers, Powers of 2, Multiples of 4, Consecutive numbers in an interval",Intervals,1. Consecutive numbers in an interval 2. Even numbers 3. Powers of 2 4. Multiples of 4 ,"Even Numbers, Powers of 2, Consecutive numbers in an interval",Mathematical rules,1. Even numbers 2. Powers of 2 3. Consecutive numbers in an interval,Consecutive numbers in an interval,Intervals,NA
4/29/2023 18:33,24,"4, 32","15, 16, 27, 28",Divisible by 8;  have many factors,NA,Power of 2,None,Anything under 30,Min 10 max 30,Divisible by 8,Mathematical rules,NA,Powers of 2,Mathematical rules,Power of 2: #1,Consecutive numbers in an interval,Intervals,NA
4/29/2023 18:37,"1, 4, 9","1, 2, 4, 8, 16, 32, 64",50,Square numbers,NA,Power of 2,NA,No pattern,NA,Square numbers,Mathematical rules,NA,Powers of 2,Mathematical rules,NA,None,Mathematical rules,NA
4/29/2023 19:02,"2, 4, 8, 16, 32, 64","4, 32","15, 17, 18, 21, 22, 24, 25",Exponential of 2,NA,Exponential of 2,NA,"Greater than equal to 15, less than equal to 25",15-25,"Even Numbers, Powers of 2, Multiples of 4",Mathematical rules,NA,"Even Numbers, Powers of 2, Multiples of 4",Mathematical rules,NA,Consecutive numbers in an interval,Intervals,NA
4/29/2023 19:28,16,"1, 2, 8, 16, 32, 64","10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",Just the number itself ,NA,Powers of 2,NA,Just numbers between 10 and 30,"10, 30",Just the number itself,Intervals,NA,Powers of 2,Mathematical rules,NA,Consecutive numbers in an interval,Intervals,NA
4/29/2023 22:36,"2, 4, 16, 32, 64","1, 4, 32","3, 4, 7, 8, 11, 12, 15, 16, 19, 20, 23, 24, 27, 28, 31, 32, 35, 36, 39, 40, 43, 44, 47, 48, 51, 52, 55, 56, 59, 60, 63, 64, 67, 68, 71, 72, 75, 76, 79, 80, 83, 84, 87, 88, 91, 92, 95, 96, 99, 100",power of 2,0-100,power of 2,0-100,"pattern +7, -4, +1",0-100,Powers of 2,Mathematical rules,NA,Powers of 2,Mathematical rules,NA,Pattern,Intervals,NA
4/29/2023 23:15,16,"2, 8, 16, 64","16, 19, 20, 23","Only considered the obvious, 16",NA,The same as the known info,NA,The known set,NA,Only 16.thats the only info available. ,Mathematical rules,NA,Only the obvious,Mathematical rules,NA,Only the obvious,Mathematical rules,NA
4/29/2023 23:55,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94, 96, 98, 100","2, 4, 8, 16, 32, 64","2, 3, 4, 5, 7, 8, 11, 12, 13, 16, 17, 19, 20, 23",Even numbers,1-100,Powers of two,Feb-64,Multiples of four and prime numbers,23-Apr,Even Numbers,Mathematical rules,NA,Powers of 2,Mathematical rules,NA,"Multiples of 4, Prime numbers",Mathematical rules,NA
4/30/2023 0:13,"1, 2, 3, 4, 5, 6, 7, 8, 9","2, 4, 8, 16, 32, 64","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",Square of 2,NA,Powers of 2,NA,Numbers less than 30,Max 30,"Even Numbers, Multiples of 4, Squares",Mathematical rules,NA,Powers of 2,Mathematical rules,NA,"Numbers ending in 3, Prime numbers, Numbers less than a range",Mathematical rules,NA
4/30/2023 4:11,"2, 4, 8, 16, 32, 64","2, 4, 8, 16, 32, 64","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",Powers of 2,NA,Powers of 2,NA,Numbers up to 23,NA,"Even Numbers, Powers of 2",Mathematical rules,NA,"Even Numbers, Powers of 2",Mathematical rules,NA,Consecutive numbers in an interval,Intervals,NA
4/30/2023 11:25,"2, 4, 8, 16, 32, 64","2, 4, 8, 16, 32, 64","2, 5, 8, 11, 14, 16, 17, 19, 20, 22, 23, 25, 28, 31, 34, 37, 40, 43, 46, 49, 52, 55, 58, 61, 64, 67, 70, 73, 76, 79, 82, 85, 88, 91, 94, 97, 100","Exponential growth (2,4,8,16..)","2,64","Exponential growth (2,4,8,16..)","2,64","+3  (n1+3=n3), -3(n2-3=n4)","2,100",Powers of 2,Mathematical rules,NA,Powers of 2,Mathematical rules,NA,n+3,Mathematical rules,NA
5/1/2023 10:05,16,"8, 24, 32, 40, 48, 56",1,16,Na,Multiples of 8,Na,Na,Na,Even Numbers,Mathematical rules,Na,Even Numbers,Mathematical rules,Na,"Even Numbers, Odd Numbers, Powers of 2, Powers of 3, Multiples of 3, Multiples of 4, Multiples of 5, Numbers ending in 1, Numbers ending in 3, Numbers ending in 6, Prime numbers, Consecutive numbers in an interval",Mathematical rules,Na
5/1/2023 12:40,"2, 4, 8, 16, 32, 48, 64, 80, 96","2, 8, 16, 32, 64, 80, 96","16, 17, 18, 19, 20, 21, 22, 23",Multiples of 16,NA,Powers of 2,NA,Range from 16 to 23,Min 16 max 23,"Powers of 2, Multiples of 4",Mathematical rules,Most likely powers of 2 then multiples of 4,Multiples of 4,Mathematical rules,NA,Consecutive numbers in an interval,Intervals,NA
5/2/2023 2:03,"2, 4, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50","2, 4, 8, 16, 32, 64","16, 17, 18, 19, 20, 21, 22, 23, 24, 25",Even number and numbers between 10-20,20-Oct,Powers of 2,NA,Numbers between 16-25,16-25,"Even Numbers, Powers of 2, Multiples of 4",Mathematical rules,"1. Powers of 2, 2. Powers of 4, 3. Even numbers ",Powers of 2,Mathematical rules,1. Powers of 2,Consecutive numbers in an interval,Intervals,1. Consecutive numbers in an interval
5/3/2023 11:15,"12, 14, 16, 18, 20","2, 4, 8, 16, 32, 64","3, 4, 7, 8, 11, 12, 15, 16, 19, 20, 23, 24, 27, 28, 31, 32, 35, 36, 39, 40, 43, 44, 47, 48, 51, 52, 55, 56, 59, 60, 63, 64, 67, 68, 71, 72, 75, 76, 79, 80, 83, 84, 87, 88, 91, 92, 95, 96, 99, 100",even numbers,20-Oct,each following number was previous number multiplied by 2,NA,two numbers are selected after every two numbers ,NA,"Even Numbers, Powers of 2, Multiples of 4",Mathematical rules,"Even, multiples, then powers","Even Numbers, Previous number multiplied by 2",Mathematical rules,"Other, then even",Consecutive numbers in an interval,Intervals,NA
5/4/2023 13:25,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94, 96, 98, 100","2, 4, 8, 16, 32, 64","3, 7, 11, 15, 24, 27, 28, 31, 32, 35, 36, 39, 40, 43, 44, 47, 48, 51, 52, 55, 56, 59, 60, 63, 64, 67, 68, 71, 72, 75, 76, 79, 80, 83, 84, 87, 88, 91, 92, 95, 96, 99, 100",Even numbers,NA,2^n,NA,4n and 4n-1,NA,Even Numbers,Mathematical rules,1. Even numbers 2. Multiples of 16 3. Multiples of 4,Powers of 2,Mathematical rules,1. Powers of 2 2. Multiples of 2,"Multiples of 4, Multiples of 4 minus 1",Intervals,NA
5/4/2023 17:23,"2, 8","2, 8, 16, 64","3, 4, 7, 8, 11, 12, 15, 16, 19, 20, 23, 24, 27, 28, 31, 32, 35, 36, 39, 40, 43, 44, 47, 48, 51, 52, 55, 56, 59, 60, 63, 64, 67, 68, 71, 72, 75, 76, 79, 80, 83, 84, 87, 88, 91, 92, 95, 96, 99, 100",Even numbers ,NA,Even number ,NA,"4x, 4x-1",NA,Even Numbers,Mathematical rules,NA,"Even Numbers, Powers of 2",Mathematical rules,NA,Multiples of 4,Mathematical rules,NA
5/4/2023 23:27,"8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88, 96","2, 8, 16, 32, 64","15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25",multiples of 8,NA,powers of 2,NA,interval,15-25,"Even Numbers, Powers of 2, multiples of 8",Mathematical rules,"#1 multiples of 8, #2 powers of 2, #3 multiples of 2",Powers of 2,Mathematical rules,NA,Consecutive numbers in an interval,Intervals,NA
